True Value sigma,Inferred Value sigma,Standard Deviation sigma,Samples sigma,Abweichung sigma
3.9659270608115573,3.575108773348946,0.7034437269227255,"(3.361133969587899, 3.691388371428574, 4.3138246439402055, 2.816609107685262, 3.6370798614972055, 3.4022887765779526, 4.626772745649395, 2.6273986416198447, 2.4454033100374324, 5.061721094520165, 3.7252808193135927, 3.2849959678660543, 3.8186047514359216, 3.284560925089091, 3.473905399815953, 3.534536226595419, 2.5748397441275586, 4.765371488172651, 3.4463225313862162, 3.6101370906325188)",0.5555786092119682
6.546469128059239,6.7477150190893305,0.7055037531378597,"(6.174091943933515, 7.310014586055911, 6.851328041870788, 6.555055171597114, 5.467784283436798, 8.247559298303138, 5.923298753666288, 7.584107006345399, 6.585306797557993, 6.850735288784908, 7.0711746932273165, 6.361867282462891, 6.197307482171572, 7.299649401137656, 6.501293936736211, 6.926555854240519, 7.7991571693573345, 5.773354145144467, 7.212209236854015, 6.262450008902798)",-0.28525134010274633
11.200401462891499,9.025543524520513,0.9197779112559554,"(9.246553864917466, 8.727417127787067, 7.896447296891316, 10.204137203598625, 8.142186184337678, 9.90664305495629, 9.272569006795235, 8.691312570982099, 8.135566324971894, 9.919375154412467, 7.93433220691434, 10.160069186523778, 7.404512334795305, 10.903621753301554, 8.650520200657713, 9.323821607314503, 8.840692304350624, 9.123788842152225, 9.736583577980339, 8.290720686769742)",2.364546823483965
39.83688762828165,40.00926415112155,0.8337884563501003,"(39.97396754963158, 40.02793606877232, 38.513951964724995, 41.546245374118264, 39.22517251404483, 40.79180421692228, 39.728017799051344, 40.27633475822222, 39.13223274792122, 40.889182945948846, 38.879184063761855, 41.155317864470376, 39.199835471179455, 40.81745101527636, 40.130853876132534, 39.8716986036342, 40.78509307093523, 39.23230061691931, 40.52864119533185, 39.480061305431924)",-0.20673891744013076
22.161311769080367,20.072119961937304,2.079917696538953,"(21.013910006521055, 18.97646910768806, 17.843561622726448, 22.353952917824675, 18.299878774790077, 21.789530964600427, 18.199332558130198, 21.915887535261856, 17.32873208925101, 23.013723328876097, 23.587883712576303, 16.90738649649324, 21.37468093214266, 18.651222741947837, 18.623053672191958, 21.415080254263568, 22.335697587615122, 17.856439720802516, 20.574752584118293, 19.381222630924583)",1.0044588834546397
9.486388699468543,7.405010657585308,1.7910140659726281,"(6.096699574671264, 8.524819732295068, 5.69931529758774, 9.072163075553222, 6.835634028264338, 7.596122722016306, 6.563170363674246, 7.880749618717306, 5.942201516109213, 8.743251240108046, 5.226484158080899, 9.910131645041453, 7.768832652391075, 6.7057050961831335, 9.446030764723695, 5.48965057391612, 11.499632969203798, 4.509011605869858, 8.393445516876799, 6.1971610004225965)",1.162122666386164
14.53353376733815,10.603398688333321,2.307819957474776,"(12.918387872065649, 8.318620298168154, 8.612648881157, 12.473496862363396, 12.520525859783843, 8.580601620719476, 11.426800251738763, 9.402368446601995, 8.439203551924853, 12.73531570643359, 10.407577050371339, 10.322533286097618, 7.169044814343424, 14.987843366743913, 7.882625949812418, 13.632880992131838, 11.176658424546616, 9.615843039341103, 13.46024643896275, 7.9847510533586075)",1.7029643349237673
16.261772966254906,14.141151688732974,1.74694566646492,"(14.982629331383968, 13.152447524114288, 14.03645831202158, 14.0500018338721, 14.923460994815564, 13.201071616404759, 16.318462462487403, 12.084587464824512, 17.538334017356966, 11.239102991132828, 16.097107113989793, 12.245543623933063, 13.67397310060303, 14.398290105537543, 16.92235865841046, 11.65024169041141, 12.676612252181116, 15.555393350124467, 14.183033110769578, 13.893924220285069)",1.2139022513580366
16.235292552230717,18.209626284032733,1.6117136630084459,"(19.72790058329279, 16.679437511969034, 16.68649071173979, 19.74015981053535, 17.386249259113267, 18.921262879582276, 18.656035706206946, 17.653200582586006, 17.53954118270329, 18.766070960139075, 20.725329515209463, 15.883231512593, 21.129002773806427, 15.556862562318944, 19.972945469502136, 16.482673199935142, 18.574452945531814, 17.727594863776194, 16.807257770366473, 19.57682587974733)",-1.2249903795669876
19.865439160874264,19.41184123960708,2.461427016759818,"(20.659814992676825, 17.948781561134517, 16.31044831033738, 22.81543080316341, 19.69242574729301, 18.8151673203703, 17.682123460379024, 21.032330713954885, 15.271109517628943, 24.306292228707093, 17.09977351811178, 21.715091997241476, 20.11679059037875, 18.367366221953034, 18.61913895513031, 19.94673796652308, 21.51097883014518, 17.277990840761795, 22.75876558293465, 16.29026563331614)",0.18428249880197167
15.679666619726326,38.04522079071178,3.4586552302995615,"(39.103513292141535, 36.42663410781212, 31.300937488873743, 47.960697573662, 35.89051867037553, 39.106567107347125, 41.605573445904895, 35.48748098274627, 36.25086017299216, 39.86705465642521, 38.02811374665576, 38.02361308139044, 38.18849487304038, 35.21988782264503, 38.93453067152116, 37.14700198508315, 34.82380730527234, 42.01848133793791, 40.238985874185644, 35.28166161822302)",-6.466546296679685
21.37599395540518,25.871631841236542,7.434399205239574,"(22.985131561622943, 26.920293476111613, 27.719990540251736, 22.74474679511962, 31.76342748088096, 19.393785706365033, 23.878981544172206, 26.289185254128395, 23.471671771009518, 26.49634768012867, 21.129033132798064, 29.48000734733989, 23.827281799798662, 25.472367659991278, 39.88524367193893, 15.624060124113571, 45.25923084444325, 13.823385720018953, 31.88490867721831, 19.383556037279167)",-0.6047076248828491
29.964703710496494,21.085499733139926,3.5603252970527914,"(22.381786604449815, 19.32769095007261, 19.698207981882028, 22.081687414402506, 21.11752297632058, 20.458846046838694, 21.21526649852729, 20.480363761986702, 24.47425684496126, 17.70186281425544, 19.84559907142633, 21.842538471927657, 25.26004748794244, 17.03005640678658, 31.48555317006267, 13.770498201803917, 19.039908621954254, 22.797908400449884, 19.339575030356798, 22.360817906390974)",2.493930536264959
41.81976660551247,38.1494630372252,2.0128793659922297,"(41.626972110048214, 34.85479845002278, 41.348382407290416, 35.18595000942568, 38.693973924250386, 37.46798971400111, 36.85663641540631, 39.439959673312885, 38.48004001301371, 37.73378869650211, 36.27979715743769, 40.02338987742207, 37.35960528138999, 38.7200304377606, 37.687931240049075, 38.52847221658911, 34.92846867931169, 41.597608218639905, 37.92434253387462, 38.25112368875551)",1.823409604319743
107.14934514815546,99.87851459193774,8.694700632494401,"(92.91305946744617, 106.5945713287105, 110.1311265367845, 89.93027728313778, 101.06611775935707, 97.99522406204976, 109.02777627372276, 90.84003396820633, 109.8091914450559, 90.19331694201776, 86.97056295287264, 113.87818297773171, 99.79652884054671, 99.24110786849451, 92.3493382871145, 107.24548677579897, 93.92534412577052, 105.44621305893556, 89.26070946421079, 110.95612242079022)",0.8362370210935953
